name,importance,reason,source_url,image_url,gender,species,hair_color,hair_style,hair_length,eye_style,eye_size,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,hero_level,evil_level,energy_level,confidence_level,match_tags,match_note
Absalom,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Absalom,https://static.wikia.nocookie.net/onepiece/images/5/56/Absalom_Anime_Infobox.png/revision/latest?cb=20230101154942,male,human,blonde,long,long,sharp,medium,angular,intimidating,light,goatee,muscular,adult,2,7,6,3,8,3,7,6,9,"intimidating, muscular, villain",강력한 악당의 느낌입니다.
Alvida,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Alvida,https://static.wikia.nocookie.net/onepiece/images/c/cd/Alvida_Anime_Infobox.png/revision/latest?cb=20221116234952,female,human,black,wavy,long,sharp,medium,oval,confident,light,none,slim,young,4,8,3,2,7,2,5,6,9,"confident, stylish, pirate",강렬한 카리스마를 가진 캐릭터입니다.
Aphelandra,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Aphelandra,https://static.wikia.nocookie.net/onepiece/images/3/31/Aphelandra_Anime_Infobox.png/revision/latest?cb=20140928162409,female,human,brown,wavy,long,round,medium,oval,smiling,light,none,curvy,young,7,5,2,3,6,4,1,8,7,"anime,female,warrior,smiling",매력적인 전사 느낌입니다.
Arlong,8,major arc character,https://onepiece.fandom.com/wiki/Arlong,https://static.wikia.nocookie.net/onepiece/images/0/01/Arlong_Anime_Infobox.png/revision/latest?cb=20230403145629,male,fishman,brown,short,short,sharp,medium,angular,smirk,light blue,none,muscular,adult,2,8,7,3,9,1,8,7,9,"muscular, villain, fishman, anime",강력한 악당의 느낌입니다.
Ashura Doji,7,important supporting character,https://onepiece.fandom.com/wiki/Ashura_Doji,https://static.wikia.nocookie.net/onepiece/images/4/44/Ashura_Doji_Anime_Infobox.png/revision/latest?cb=20191201102956,male,human,pink,curly,short,angry,medium,round,angry,light,none,heavyset,adult,2,4,3,5,7,3,4,6,5,"anime, warrior, colorful, fierce",강렬한 전사 느낌입니다.
Atlas,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Vegapunk/Atlas,https://static.wikia.nocookie.net/onepiece/images/a/a4/Atlas_Anime_Infobox.png/revision/latest?cb=20240602021244,female,human,"pink, white",curly,medium,round,large,round,smiling,light,none,slim,young,8,5,1,6,4,5,1,7,6,"cute, playful, colorful",귀엽고 발랄한 느낌입니다.
Avalo Pizarro,7,important supporting character,https://onepiece.fandom.com/wiki/Avalo_Pizarro,https://static.wikia.nocookie.net/onepiece/images/e/ef/Avalo_Pizarro_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20200112042123,male,human,blue,long,long,sharp,medium,angular,confident,tan,yes,muscular,adult,2,8,5,3,9,2,7,8,9,"muscular, confident, villain, blue hair",강력한 악당의 느낌입니다.
Babanuki,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Babanuki,https://static.wikia.nocookie.net/onepiece/images/d/d6/Babanuki_Anime_Infobox.png/revision/latest?cb=20200628041552,male,human,black,long,medium,round,medium,angular,angry,dark,full,muscular,adult,1,8,7,2,9,3,6,8,9,"muscular, angry, villain, powerful",강력한 악당의 느낌입니다.
Baby 5,7,important supporting character,https://onepiece.fandom.com/wiki/Baby_5,https://static.wikia.nocookie.net/onepiece/images/e/e1/Baby_5_Anime_Infobox.png/revision/latest?cb=20221011013323,female,human,black,wavy,long,normal,medium,oval,neutral,light,none,slim,young,6,7,2,3,8,5,2,7,8,"anime,female,warrior",강력한 전사 같은 느낌입니다.
Bao Huang,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Bao_Huang,https://static.wikia.nocookie.net/onepiece/images/d/d1/Bao_Huang_Anime_Infobox.png/revision/latest?cb=20220726180839,female,human,blonde,wavy,short,round,medium,oval,playful,light,none,slim,young,8,5,2,7,4,3,1,6,5,"anime, playful, colorful, kimono",귀엽고 장난기 가득한 모습입니다.
Bartholomew Kuma,9,very major recurring character,https://onepiece.fandom.com/wiki/Bartholomew_Kuma,https://static.wikia.nocookie.net/onepiece/images/8/8d/Bartholomew_Kuma_Anime_Infobox.png/revision/latest?cb=20221012030835,male,human,black,curly,short,round,medium,square,neutral,dark,none,large,adult,2,8,5,3,9,6,2,7,8,"anime, strong, unique, character",강력한 캐릭터의 느낌입니다.
Bartolomeo,8,very popular recurring character,https://onepiece.fandom.com/wiki/Bartolomeo,https://static.wikia.nocookie.net/onepiece/images/e/eb/Bartolomeo_Anime_Infobox.png/revision/latest?cb=20221027202808,male,human,green,spiky,short,sharp,medium,angular,smirking,light,none,muscular,young,3,7,2,5,8,6,1,9,8,"anime, colorful, bold, playful",독특한 스타일의 캐릭터입니다.
Basil Hawkins,8,very popular recurring character,https://onepiece.fandom.com/wiki/Basil_Hawkins,https://static.wikia.nocookie.net/onepiece/images/f/f8/Basil_Hawkins_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20230906163534,male,human,blonde,long,long,sharp,medium,oval,serious,light,none,slim,young,2,8,6,1,7,3,5,6,8,"serious,strategic,card,blonde",차가운 분위기를 가지고 있다.
Bastille,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Bastille,https://static.wikia.nocookie.net/onepiece/images/e/e8/Bastille_Anime_Infobox.png/revision/latest?cb=20200507114049,male,human,red,long,long,unknown,unknown,unknown,serious,light,none,muscular,adult,2,8,5,1,9,7,3,6,8,"leader, warrior, strong",강력한 전사 같은 느낌입니다.
Belo Betty,7,important supporting character,https://onepiece.fandom.com/wiki/Belo_Betty,https://static.wikia.nocookie.net/onepiece/images/d/dd/Belo_Betty_Anime_Infobox.png/revision/latest?cb=20240903112156,female,human,purple,long,medium,sharp,medium,oval,smirking,light,none,slim,young,4,7,3,2,6,2,5,8,9,"anime, character, stylish, confident",매우 자신감 넘치는 모습입니다.
Bellamy,7,important supporting character,https://onepiece.fandom.com/wiki/Bellamy,https://static.wikia.nocookie.net/onepiece/images/2/27/Bellamy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20230116235201,male,human,blonde,spiky,short,narrow,medium,square,smirking,light,none,muscular,young adult,3,8,2,4,9,5,3,7,9,"anime,muscular,smirking,blonde",강한 느낌의 캐릭터입니다.
Bell-mère,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Bell-m%C3%A8re,https://static.wikia.nocookie.net/onepiece/images/3/3f/Bell-m%C3%A8re_Anime_Infobox.png/revision/latest?cb=20231128171918,female,human,pink,short,medium,round,medium,oval,smiling,light,none,average,young,7,5,2,4,3,4,1,6,5,"anime,female,pink hair,smiling",귀여운 느낌이 듭니다.
Benn Beckman,8,very popular recurring character,https://onepiece.fandom.com/wiki/Benn_Beckman,https://static.wikia.nocookie.net/onepiece/images/1/12/Benn_Beckman_Anime_Infobox.png/revision/latest?cb=20240623091906,male,human,gray,wavy,medium,narrow,medium,square,serious,light,stubble,muscular,adult,2,8,6,1,9,5,3,7,8,"muscular,serious,gray hair,stubble",강력한 느낌의 캐릭터입니다.
Bepo,7,Important supporting character and member of the Heart Pirates.,https://onepiece.fandom.com/wiki/Bepo,https://static.wikia.nocookie.net/onepiece/images/5/5f/Bepo_Anime_Infobox.png/revision/latest?cb=20231210123641,male,bear,white,none,none,round,medium,round,neutral,light,none,chubby,young,8,3,1,5,4,6,1,5,4,"bear,cute,anime",귀여운 곰 캐릭터입니다.
Blueno,7,Important supporting character and member of CP9.,https://onepiece.fandom.com/wiki/Blueno,https://static.wikia.nocookie.net/onepiece/images/2/2b/Blueno_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240915021752,male,human,black,short,short,normal,medium,square,neutral,light,goatee,muscular,adult,2,7,5,3,8,4,6,5,7,"anime,male,goatee,muscular",강력한 느낌의 캐릭터입니다.
Boa Hancock,9,Very major character and one of the Seven Warlords.,https://onepiece.fandom.com/wiki/Boa_Hancock,https://static.wikia.nocookie.net/onepiece/images/f/f0/Boa_Hancock_Anime_Infobox.png/revision/latest?cb=20230126022456,female,human,black,straight,long,almond,medium,oval,confident,light,none,slim,young,5,8,2,1,9,6,3,7,9,"elegant, powerful, confident, stylish",아름답고 강력한 느낌입니다.
Brogy,6,recognizable giant character,https://onepiece.fandom.com/wiki/Brogy,https://static.wikia.nocookie.net/onepiece/images/b/bf/Brogy_Anime_Infobox.png/revision/latest?cb=20250824161255,male,human,white,spiky,short,round,large,round,smiling,light,none,muscular,adult,5,7,1,6,8,6,1,7,8,"muscular, smiling, warrior, anime",강력한 전사 같은 느낌입니다.
Brook,9,main Straw Hat and popular character,https://onepiece.fandom.com/wiki/Brook,https://static.wikia.nocookie.net/onepiece/images/4/41/Brook_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20161016160925,male,skeleton,black,curly,long,round,medium,skull,cheerful,white,none,tall,young,5,7,3,8,6,5,1,7,8,"skeleton, musician, cheerful, unique",독특한 매력을 가진 캐릭터입니다.
Caesar Clown,8,major arc character,https://onepiece.fandom.com/wiki/Caesar_Clown,https://static.wikia.nocookie.net/onepiece/images/a/a6/Caesar_Clown_Anime_Infobox.png/revision/latest?cb=20221101011307,male,human,black,spiky,long,sharp,medium,angular,menacing,pale,none,slim,adult,2,7,8,3,9,1,9,8,9,"villain, anime, clown, dark",무서운 분위기를 가지고 있습니다.
Camie,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Camie,https://static.wikia.nocookie.net/onepiece/images/a/af/Camie_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20130912213617,female,human,green,wavy,short,round,medium,oval,smiling,light,none,slim,young,7,6,1,5,4,3,1,8,7,"anime, mermaid, cheerful, colorful",밝고 활기찬 느낌입니다.
Carrot,7,important supporting character,https://onepiece.fandom.com/wiki/Carrot,https://static.wikia.nocookie.net/onepiece/images/e/e2/Carrot_Anime_Infobox.png/revision/latest?cb=20180826142459,female,rabbit,blonde,wavy,short,round,medium,oval,serious,light,none,slim,young,7,5,2,3,6,4,1,6,5,"rabbit, anime, female, serious",귀여운 토끼 캐릭터입니다.
Catarina Devon,7,important supporting character,https://onepiece.fandom.com/wiki/Catarina_Devon,https://static.wikia.nocookie.net/onepiece/images/4/4a/Catarina_Devon_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20200112041332,female,human,purple,wavy,long,sharp,medium,oval,smiling,light,none,curvy,adult,3,7,5,6,8,2,7,9,8,"pirate, flamboyant, villain",강렬한 악당의 느낌입니다.
Cavendish,7,important supporting character,https://onepiece.fandom.com/wiki/Cavendish,https://static.wikia.nocookie.net/onepiece/images/a/a1/Cavendish_Anime_Infobox.png/revision/latest?cb=20140224010824,male,human,blonde,wavy,long,sharp,medium,oval,smirking,light,none,slim,young,5,8,2,3,7,4,3,6,9,"elegant, flamboyant, stylish",매력적인 외모입니다.
Charlotte Allmeg,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Allmeg,https://static.wikia.nocookie.net/onepiece/images/6/62/Charlotte_Allmeg_Anime_Infobox.png/revision/latest?cb=20190312135442,female,human,brown,curly,long,sharp,large,oval,smiling,light,none,slim,young,8,4,1,3,5,6,1,7,8,"cute, cheerful, playful",귀엽고 활기찬 느낌입니다.
Charlotte Anana,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Anana,https://static.wikia.nocookie.net/onepiece/images/1/18/Charlotte_Anana_Anime_Infobox.png/revision/latest?cb=20171016152430,female,human,pink,wavy,medium,round,large,oval,sad,light,none,slim,child,8,2,1,3,1,2,1,4,3,"anime, cute, sad, pink hair",귀여운 슬픈 캐릭터입니다.
Charlotte Angel,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Angel,https://static.wikia.nocookie.net/onepiece/images/3/35/Charlotte_Angel_Anime_Infobox.png/revision/latest?cb=20181019103814,female,human,purple,wavy,medium,sharp,medium,oval,confident,light,none,slim,young,5,7,2,3,6,4,1,8,9,"anime, confident, stylish, unique",매력적인 캐릭터입니다.
Charlotte Anglais,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Anglais,https://static.wikia.nocookie.net/onepiece/images/5/53/Charlotte_Anglais_Anime_Infobox.png/revision/latest?cb=20181020104856,male,human,black,slicked back,short,angry,medium,round,angry,light,none,average,young,2,3,4,5,6,2,5,7,6,"angry, young, human, slicked back hair",강렬한 표정의 캐릭터입니다.
Charlotte Bavarois,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Bavarois,https://static.wikia.nocookie.net/onepiece/images/b/bd/Charlotte_Bavarois_Anime_Infobox.png/revision/latest?cb=20181113174718,male,human,blonde,long,medium,narrow,medium,square,angry,light,none,muscular,adult,2,5,3,4,8,3,2,7,6,"muscular, angry, boxer, anime",강력한 전투 스타일을 가진 캐릭터입니다.
Charlotte Brownie,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Brownie,https://static.wikia.nocookie.net/onepiece/images/9/91/Charlotte_Brownie_Anime_Infobox.png/revision/latest?cb=20190324131404,male,human,pink,spiky,medium,sharp,large,angular,smiling,light,none,muscular,adult,2,6,3,5,7,4,5,8,9,"anime, villain, flamboyant",강렬한 캐릭터입니다.
Charlotte Brûlée,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Br%C3%BBl%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/d/d9/Charlotte_Br%C3%BBl%C3%A9e_Anime_Infobox.png/revision/latest?cb=20170611174235,female,human,purple,long,very long,wide,large,oval,frightened,light,none,slim,young,4,3,7,2,6,1,8,5,4,"anime,female,character,frightened",무서운 느낌의 캐릭터입니다.
Charlotte Chiboust,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Chiboust,https://static.wikia.nocookie.net/onepiece/images/6/65/Charlotte_Chiboust_Anime_Infobox.png/revision/latest?cb=20190120111957,male,human,blue,spiky,short,narrow,medium,round,serious,light,none,large,adult,2,5,1,3,7,4,2,6,5,"anime, character, serious, large",강력한 느낌의 캐릭터입니다.
Charlotte Chiffon,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Chiffon,https://static.wikia.nocookie.net/onepiece/images/6/6d/Charlotte_Chiffon_Anime_Infobox.png/revision/latest?cb=20170409062554,female,human,pink,pigtails,medium,round,large,oval,grinning,light,none,large,adult,3,2,1,8,4,1,2,7,6,"anime, character, funny, exaggerated",재미있는 캐릭터입니다.
Charlotte Citron,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Citron,https://static.wikia.nocookie.net/onepiece/images/5/5b/Charlotte_Citron_Anime_Infobox.png/revision/latest?cb=20190203104804,female,human,orange,wavy,long,simple,medium,round,confident,light,none,curvy,adult,5,4,1,3,6,2,1,7,8,"anime, confident, curvy, colorful",매우 자신감 넘치는 모습입니다.
Charlotte Compote,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Compote,https://static.wikia.nocookie.net/onepiece/images/a/a5/Charlotte_Compote_Anime_Infobox.png/revision/latest?cb=20230702183151,female,human,green,wavy,long,round,large,round,happy,light,none,large,middle-aged,5,2,1,7,6,3,2,8,7,"anime,female,green hair,large body,happy",재미있고 활기찬 느낌입니다.
Charlotte Cornstarch,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Cornstarch,https://static.wikia.nocookie.net/onepiece/images/c/c7/Charlotte_Cornstarch_Anime_Infobox.png/revision/latest?cb=20181021143336,female,human,orange,curly,medium,sharp,small,angular,angry,light,none,average,adult,2,3,1,4,5,2,6,7,8,"anime, character, angry, unique",독특한 외모의 캐릭터입니다.
Charlotte Custard,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Custard,https://static.wikia.nocookie.net/onepiece/images/d/da/Charlotte_Custard_Anime_Infobox.png/revision/latest?cb=20181118084826,female,human,purple,short,medium,sharp,medium,oval,serious,light,none,slim,young,5,7,2,1,8,6,1,7,8,"royalty, warrior, confident",강력한 왕족의 느낌입니다.
Charlotte Daifuku,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Daifuku,https://static.wikia.nocookie.net/onepiece/images/c/cd/Charlotte_Daifuku_Anime_Infobox.png/revision/latest?cb=20230215154338,male,human,blonde,short,short,round,medium,square,smiling,light,none,muscular,adult,3,6,1,5,7,4,2,8,9,"anime,muscular,smiling",재미있고 자신감 넘치는 모습입니다.
Charlotte Dolce,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Dolce_and_Drag%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/0/06/Charlotte_Dolce_and_Drag%C3%A9e_Anime_Infobox.png/revision/latest?cb=20171015021417,male,human,brown,spiky,short,round,large,round,happy,light,none,chubby,childlike,8,2,1,7,1,1,1,6,5,"happy, chubby, playful",귀엽고 유쾌한 느낌입니다.
Charlotte High-Fat,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_High-Fat,https://static.wikia.nocookie.net/onepiece/images/8/8d/Charlotte_High-Fat_Anime_Infobox.png/revision/latest?cb=20180722081835,male,human,blonde,short,short,round,medium,round,confident,light,none,muscular,adult,2,7,3,4,8,5,2,6,9,"muscular,confident,warrior",강력한 전사 같은 느낌입니다.
Charlotte Linlin,10,main antagonist and iconic,https://onepiece.fandom.com/wiki/Charlotte_Linlin,https://static.wikia.nocookie.net/onepiece/images/d/d8/Charlotte_Linlin_Anime_Infobox.png/revision/latest?cb=20180423150804,female,human,pink,wavy,long,angry,large,round,angry,light,none,large,middle-aged,2,3,5,4,8,2,7,6,9,"anime,female,pink hair,angry",강력한 존재감이 느껴진다.
Charlotte Lola,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Lola,https://static.wikia.nocookie.net/onepiece/images/f/f0/Charlotte_Lola_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20201012081800,female,human,blonde,straight,long,round,large,round,joyful,light,none,average,young,7,2,1,8,3,2,1,9,6,"anime, joyful, funny, character",재미있는 캐릭터입니다.
Charlotte Mont-d'Or,7,important supporting character,https://onepiece.fandom.com/wiki/Charlotte_Mont-d%27Or,https://static.wikia.nocookie.net/onepiece/images/d/d4/Charlotte_Mont-d%27Or_Anime_Infobox.png/revision/latest?cb=20180325090436,male,human,blonde,curly,medium,sharp,medium,angular,serious,light,none,muscular,adult,2,7,3,4,8,5,2,6,7,"clown, skeleton, serious, anime",강렬한 인상을 주는 캐릭터입니다.
Charlotte Oven,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Oven,https://static.wikia.nocookie.net/onepiece/images/f/f0/Charlotte_Oven_Anime_Infobox.png/revision/latest?cb=20181028111159,male,human,red,flame,short,sharp,medium,angular,confident,light,none,muscular,adult,2,8,3,4,9,5,6,7,9,"muscular, confident, fiery, bold",강렬한 인상입니다.
Charlotte Perospero,8,major arc character,https://onepiece.fandom.com/wiki/Charlotte_Perospero,https://static.wikia.nocookie.net/onepiece/images/7/7e/Charlotte_Perospero_Anime_Infobox.png/revision/latest?cb=20211101122146,male,human,purple,curly,long,sharp,medium,long,smug,pale,none,slim,adult,2,6,7,5,8,1,9,7,8,"anime, villain, colorful, unique",독특한 악당의 느낌입니다.
Charlotte Smoothie,7,important member of the Big Mom Pirates,https://onepiece.fandom.com/wiki/Charlotte_Smoothie,https://static.wikia.nocookie.net/onepiece/images/c/c5/Charlotte_Smoothie_Anime_Infobox.png/revision/latest?cb=20180423150946,female,human,white,wavy,long,sharp,medium,oval,confident,light,none,tall,young adult,4,8,2,1,9,3,2,7,9,"warrior, elegant, strong, stylish",강력하고 우아한 느낌입니다.
Charlotte Snack,6,recognizable character in the Big Mom Pirates,https://onepiece.fandom.com/wiki/Charlotte_Snack,https://static.wikia.nocookie.net/onepiece/images/1/18/Charlotte_Snack_Anime_Infobox.png/revision/latest?cb=20190303110418,male,human,brown,spiky,short,angry,medium,square,angry,light,none,large,adult,2,5,3,4,8,3,6,7,9,"angry,large,spiky,human",강력한 느낌의 캐릭터입니다.
Crocodile,9,very major recurring antagonist,https://onepiece.fandom.com/wiki/Crocodile,https://static.wikia.nocookie.net/onepiece/images/f/fd/Crocodile_Anime_Infobox.png/revision/latest?cb=20230125235528,male,human,black,long,medium,normal,medium,angular,confident,light,none,muscular,adult,2,8,7,1,9,2,8,7,9,"crocodile, villain, pirate, strong",강력한 악당의 느낌입니다.
Curly Dadan,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Curly_Dadan,https://static.wikia.nocookie.net/onepiece/images/b/b4/Curly_Dadan_Anime_Infobox.png/revision/latest?cb=20160802231340,female,human,orange,curly,medium,round,large,round,angry,light,none,heavyset,adult,2,3,1,4,7,2,1,6,8,"curly, angry, heavyset, orange hair",강한 인상을 주는 캐릭터입니다.
Dalton,7,important supporting character,https://onepiece.fandom.com/wiki/Dalton,https://static.wikia.nocookie.net/onepiece/images/0/07/Dalton_Anime_Infobox.png/revision/latest?cb=20230101225126,male,human,black,short,short,sharp,medium,square,confident,light,goatee,muscular,adult,2,8,3,1,9,6,2,7,9,"muscular, confident, goatee, sharp eyes",강력한 느낌의 캐릭터입니다.
Daz Bonez,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Daz_Bonez,https://static.wikia.nocookie.net/onepiece/images/e/e9/Daz_Bonez_Anime_Infobox.png/revision/latest?cb=20221102004113,male,human,white,short,short,narrow,medium,square,serious,light,none,muscular,adult,2,8,5,1,9,3,4,7,9,"muscular, serious, fighter",강력한 전사 같은 느낌입니다.
