name,importance,reason,source_url,image_url,gender,species,hair_color,hair_style,hair_length,eye_style,eye_size,face_shape,expression,skin_tone,beard,body_type,age_vibe,cute_level,cool_level,dark_level,funny_level,power_level,hero_level,evil_level,energy_level,confidence_level,match_tags,match_note
Helmeppo,7,Important supporting character in the early arcs.,https://onepiece.fandom.com/wiki/Helmeppo,https://static.wikia.nocookie.net/onepiece/images/a/a3/Helmeppo_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20230723204723,male,human,blonde,long,medium,narrow,medium,oval,angry,light,none,slim,young,3,6,2,4,5,4,2,6,7,"anime, character, angry, marine",강한 느낌의 캐릭터입니다.
Heracles,6,Supporting character with a unique role.,https://onepiece.fandom.com/wiki/Heracles,https://static.wikia.nocookie.net/onepiece/images/9/92/Heracles_Anime_Infobox.png/revision/latest?cb=20141010000157,male,human,gray,curly,short,round,medium,round,neutral,light,none,large,adult,3,4,1,5,6,5,2,4,5,"hero, funny, strong",재미있고 강력한 캐릭터입니다.
Hiriluk,8,Major character with a significant backstory.,https://onepiece.fandom.com/wiki/Hiriluk,https://static.wikia.nocookie.net/onepiece/images/c/c0/Hiriluk_Anime_Infobox.png/revision/latest?cb=20190519083444,male,human,white,spiky,medium,sharp,medium,angular,smiling,light,light stubble,muscular,middle-aged,2,7,3,5,8,6,2,7,8,"anime, character, spiky hair, muscular",이 캐릭터는 강력한 느낌을 줍니다.
Hyogoro,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Hyougoro,https://static.wikia.nocookie.net/onepiece/images/d/dc/Hyougoro_Anime_Infobox.png/revision/latest?cb=20211128060641,male,human,light blue,curly,short,round,large,round,smiling,light,none,muscular,old,5,3,1,7,6,4,1,8,7,"old, funny, muscular, cheerful",귀엽고 유쾌한 느낌입니다.
Igaram,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Igaram,https://static.wikia.nocookie.net/onepiece/images/a/a4/Igaram_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20190625115148,male,human,blonde,curly,long,simple,medium,square,neutral,light,none,muscular,adult,2,5,1,3,7,4,1,6,5,"anime, character, male, curly hair",강한 인상을 주는 캐릭터입니다.
Im,9,very major recurring character,https://onepiece.fandom.com/wiki/Nerona_Imu,https://static.wikia.nocookie.net/onepiece/images/d/d4/Nerona_Imu_Manga_Infobox.png/revision/latest?cb=20260419150637,male,human,white,wavy,long,sharp,medium,angular,intimidating,dark,none,muscular,adult,2,8,9,1,10,3,7,8,9,"intimidating,muscular,evil",강력한 악당의 느낌입니다.
Inuarashi,7,important supporting character,https://onepiece.fandom.com/wiki/Inuarashi,https://static.wikia.nocookie.net/onepiece/images/9/9f/Inuarashi_Anime_Infobox.png/revision/latest?cb=20250516022630,male,animal,orange,short,short,round,medium,square,serious,light,none,muscular,adult,3,8,2,1,9,7,1,8,9,"warrior, animal, strong, serious",강력한 전사 같은 느낌입니다.
Issho,8,major arc character,https://onepiece.fandom.com/wiki/Issho,https://static.wikia.nocookie.net/onepiece/images/e/e8/Issho_Anime_Infobox.png/revision/latest?cb=20220718140829,male,human,black,short,short,narrow,medium,square,serious,light,goatee,large,middle-aged,2,7,5,1,8,6,3,5,9,"serious, powerful, authoritative",강력한 존재감이 느껴진다.
Ivan X,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Ivan_X,https://static.wikia.nocookie.net/onepiece/images/3/30/Ivan_X_Anime_Infobox.png/revision/latest?cb=20260530185211,unknown,bird,none,none,none,round,medium,round,neutral,light,none,plump,young,7,3,1,5,2,1,0,4,3,"bird, cute, funny",귀엽고 유머러스한 느낌입니다.
Jabra,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Jabra,https://static.wikia.nocookie.net/onepiece/images/1/12/Jabra_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240915021445,male,human,black,long,medium,narrow,small,angular,confident,light,none,muscular,adult,2,8,5,3,7,4,6,5,9,"confident,muscular,stylish",강한 느낌의 캐릭터입니다.
Jack,8,major arc character,https://onepiece.fandom.com/wiki/Jack,https://static.wikia.nocookie.net/onepiece/images/3/3f/Jack_Anime_Infobox.png/revision/latest?cb=20161009223938,male,human,blonde,braided,long,narrow,medium,square,confident,tan,none,muscular,adult,2,8,5,3,9,6,4,7,9,"muscular, confident, pirate, warrior",강력한 전사 같은 느낌입니다.
Jaygarcia Saturn,8,major arc character,https://onepiece.fandom.com/wiki/Jaygarcia_Saturn,https://static.wikia.nocookie.net/onepiece/images/a/ae/Jaygarcia_Saturn_Anime_Infobox.png/revision/latest?cb=20250409120617,male,human,white,curly,medium,sharp,medium,square,serious,light,full,heavyset,old,2,6,4,3,7,5,2,5,8,"serious, authoritative, wise",강력한 존재감이 느껴진다.
Jean Bart,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Jean_Bart,https://static.wikia.nocookie.net/onepiece/images/a/af/Jean_Bart_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240726161233,male,human,black,spiky,short,narrow,medium,angular,angry,tan,stubble,muscular,adult,2,8,5,1,9,7,3,8,9,"muscular,angry,spiky hair",강력한 느낌의 캐릭터입니다.
Jewelry Bonney,8,very popular recurring character,https://onepiece.fandom.com/wiki/Jewelry_Bonney,https://static.wikia.nocookie.net/onepiece/images/6/62/Jewelry_Bonney_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20230123001318,female,human,pink,wavy,medium,sharp,medium,oval,angry,light,none,slim,young,5,6,2,3,7,4,1,8,7,"anime,female,pink hair,angry",강한 느낌의 캐릭터입니다.
Jozu,7,important supporting character,https://onepiece.fandom.com/wiki/Jozu,https://static.wikia.nocookie.net/onepiece/images/6/61/Jozu_Anime_Infobox.png/revision/latest?cb=20220702104233,male,human,black,spiky,short,narrow,medium,angular,serious,light,goatee,muscular,adult,2,8,5,1,9,7,3,8,9,"muscular,serious,spiky hair",강력한 느낌의 캐릭터입니다.
Kalgara,7,important supporting character,https://onepiece.fandom.com/wiki/Kalgara,https://static.wikia.nocookie.net/onepiece/images/a/ad/Kalgara_Anime_Infobox.png/revision/latest?cb=20260419014810,male,human,red,long and wild,long,sharp,medium,angular,confident,tan,none,muscular,adult,2,8,3,1,9,7,2,8,9,"muscular, confident, warrior, red hair",강력한 전사 같은 느낌입니다.
Kalifa,7,important supporting character,https://onepiece.fandom.com/wiki/Kalifa,https://static.wikia.nocookie.net/onepiece/images/b/b3/Kalifa_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240915021516,female,human,blonde,straight,long,round,medium,oval,confident,light,none,slim,young adult,4,7,3,2,6,2,5,6,8,"confident, stylish, elegant",매력적인 모습입니다.
Kawamatsu,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Kawamatsu,https://static.wikia.nocookie.net/onepiece/images/5/5e/Kawamatsu_Anime_Infobox.png/revision/latest?cb=20201215013006,male,frog,orange,wavy,medium,round,medium,round,serious,green,none,stocky,adult,5,4,2,3,6,5,1,4,5,"anime,frog,warrior",강력한 전사 같은 느낌입니다.
Koby,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Koby,https://static.wikia.nocookie.net/onepiece/images/b/b8/Koby_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20241114130518,male,human,pink,short,medium,round,large,oval,neutral,light,none,slim,young,6,4,1,3,5,5,1,4,3,"anime, marine, pink hair, goggles",귀여운 캐릭터입니다.
Kokoro,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Kokoro,https://static.wikia.nocookie.net/onepiece/images/c/cc/Kokoro_Anime_Infobox.png/revision/latest?cb=20250318233550,male,human,blonde,curly,medium,round,large,round,smiling,light,none,fat,middle-aged,2,3,1,7,2,1,2,5,6,"anime, character, funny",재미있는 캐릭터입니다.
Kozuki Momonosuke,9,very major recurring character,https://onepiece.fandom.com/wiki/Kouzuki_Momonosuke,https://static.wikia.nocookie.net/onepiece/images/8/8b/Kouzuki_Momonosuke_Anime_Infobox.png/revision/latest?cb=20240904123638,male,human,black,wavy,long,normal,medium,oval,serious,light,none,muscular,young,4,7,3,2,8,6,1,7,8,"samurai, warrior, serious, anime",강력한 전사 같은 느낌입니다.
Krieg,7,important supporting character,https://onepiece.fandom.com/wiki/Krieg,https://static.wikia.nocookie.net/onepiece/images/b/bb/Krieg_Anime_Infobox.png/revision/latest?cb=20230123170612,male,human,gray,short,short,narrow,medium,square,serious,light,none,muscular,adult,2,8,6,1,9,3,7,5,8,"muscular,serious,anime",강력한 느낌의 캐릭터입니다.
Kumadori,7,important supporting character,https://onepiece.fandom.com/wiki/Kumadori,https://static.wikia.nocookie.net/onepiece/images/8/86/Kumadori_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240915021726,male,human,pink,long,very long,sharp,medium,angular,angry,light,none,muscular,adult,2,5,7,3,8,2,6,7,9,"angry, muscular, pink hair, villain",강렬한 악당의 느낌입니다.
Kureha,7,important supporting character,https://onepiece.fandom.com/wiki/Kureha,https://static.wikia.nocookie.net/onepiece/images/1/1b/Kureha_Anime_Infobox.png/revision/latest?cb=20150819163116,male,human,white,wavy,long,round,medium,long,smiling,light,none,slim,adult,2,8,3,5,6,2,4,7,9,"stylish, flamboyant, confident",매우 자신감 넘치는 모습입니다.
Laboon,7,important supporting character with a backstory,https://onepiece.fandom.com/wiki/Laboon,https://static.wikia.nocookie.net/onepiece/images/8/88/Laboon_Anime_Infobox.png/revision/latest?cb=20180508212232,male,whale,none,none,none,simple,large,round,playful,blue,none,large,young,8,5,0,7,6,4,0,7,5,"whale, playful, cartoon, anime",귀엽고 장난스러운 느낌입니다.
Laffitte,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Laffitte,https://static.wikia.nocookie.net/onepiece/images/0/00/Laffitte_Anime_Infobox.png/revision/latest?cb=20161029211833,male,human,black,long,medium,sharp,medium,slim,playful,pale,none,tall,young,3,8,6,5,7,2,5,7,9,"tall, stylish, playful, mysterious",이 캐릭터는 매력적이고 신비로운 느낌을 줍니다.
Lao G,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Lao_G,https://static.wikia.nocookie.net/onepiece/images/5/52/Lao_G_Anime_Infobox.png/revision/latest?cb=20141202204639,male,human,gray,bald,none,narrow,small,wrinkled,serious,light,goatee,muscular,old,1,7,3,2,8,6,2,5,9,"old, muscular, serious, hero",강력한 영웅의 느낌입니다.
Little Oars Jr.,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Little_Oars_Jr.,https://static.wikia.nocookie.net/onepiece/images/b/bc/Little_Oars_Jr._Anime_Infobox.png/revision/latest?cb=20250128010544,male,giant,red,spiky,long,narrow,medium,square,angry,green,none,muscular,adult,1,7,5,2,9,3,4,8,9,"giant, angry, muscular, fierce",강력한 느낌의 캐릭터입니다.
Machvise,6,recognizable supporting character,https://onepiece.fandom.com/wiki/Machvise,https://static.wikia.nocookie.net/onepiece/images/6/6e/Machvise_Anime_Infobox.png/revision/latest?cb=20140916075009,male,human,blonde,wavy,medium,round,medium,round,smiling,light,full,large,adult,3,5,2,6,7,4,3,6,8,"muscular, cheerful, pirate",재미있고 강력한 캐릭터입니다.
Marco,9,very major recurring character,https://onepiece.fandom.com/wiki/Polo_Marco,https://static.wikia.nocookie.net/onepiece/images/4/4a/Polo_Marco_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20221010015200,male,human,blonde,spiky,short,round,medium,square,confident,light,light stubble,muscular,adult,3,7,2,4,8,6,1,7,9,"confident,muscular,heroic",강한 느낌의 캐릭터입니다.
Monkey D. Luffy,10,main protagonist and iconic character,https://onepiece.fandom.com/wiki/Monkey_D._Luffy,https://static.wikia.nocookie.net/onepiece/images/6/6d/Monkey_D._Luffy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20260611004637,male,human,black,spiky,short,round,large,oval,smiling,light,none,slim,young,7,6,1,8,9,10,1,9,8,"adventurous, cheerful, determined",이 캐릭터는 매우 활기차고 긍정적입니다.
Mont Blanc Noland,7,important historical figure in the story,https://onepiece.fandom.com/wiki/Mont_Blanc_Noland,https://static.wikia.nocookie.net/onepiece/images/2/27/Mont_Blanc_Noland_Anime_Infobox.png/revision/latest?cb=20230806162218,male,human,brown,short,short,sharp,medium,square,serious,light,none,muscular,adult,2,8,3,1,9,7,2,8,9,"muscular,serious,adventurer",강력한 느낌의 캐릭터입니다.
Morgans,6,supporting character and news reporter,https://onepiece.fandom.com/wiki/Morgans,https://static.wikia.nocookie.net/onepiece/images/8/87/Morgans_Anime_Infobox.png/revision/latest?cb=20260405065914,male,bird,white,feathered,short,sharp,medium,beak,confident,light,none,large,adult,3,7,4,5,8,6,2,7,9,"bird, confident, large, stylish",강력한 존재감이 느껴진다.
Charlotte Counter,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Counter,https://static.wikia.nocookie.net/onepiece/images/0/0a/Charlotte_Counter_Anime_Infobox.png/revision/latest?cb=20180129042546,male,human,black,long,medium,narrow,small,square,angry,light,full,muscular,adult,1,6,7,2,9,3,5,8,9,"muscular, angry, dark, powerful",강력한 느낌의 캐릭터입니다.
Charlotte Cracker,8,very popular recurring character,https://onepiece.fandom.com/wiki/Charlotte_Cracker,https://static.wikia.nocookie.net/onepiece/images/6/64/Charlotte_Cracker_Anime_Infobox.png/revision/latest?cb=20170730021804,male,human,purple,long,medium,sharp,medium,angular,smiling,light,none,muscular,adult,2,7,3,5,8,4,6,7,9,"anime,muscular,smiling,purple hair",강력한 캐릭터의 느낌입니다.
Charlotte Dacquoise,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Dacquoise,https://static.wikia.nocookie.net/onepiece/images/8/86/Charlotte_Dacquoise_Anime_Infobox.png/revision/latest?cb=20190120104412,male,human,black,spiky,short,narrow,medium,square,serious,light,none,muscular,adult,2,7,5,3,8,4,6,7,9,"spiky hair, serious, muscular, stylish",강렬한 인상입니다.
Charlotte Dragée,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Dolce_and_Drag%C3%A9e,https://static.wikia.nocookie.net/onepiece/images/0/06/Charlotte_Dolce_and_Drag%C3%A9e_Anime_Infobox.png/revision/latest?cb=20171015021417,unknown,human,brown,spiky,short,round,medium,round,happy,light,none,chubby,childlike,8,2,1,7,1,1,1,6,5,"happy, chubby, playful",귀엽고 유쾌한 느낌입니다.
Charlotte Flampe,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Flampe,https://static.wikia.nocookie.net/onepiece/images/9/91/Charlotte_Flampe_Anime_Infobox.png/revision/latest?cb=20190203105539,female,human,black,long,medium,large,big,round,smirking,light,none,slim,young,7,5,2,6,4,3,2,6,7,"anime, character, playful, stylish",귀여운 캐릭터입니다.
Charlotte Galette,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Charlotte_Galette,https://static.wikia.nocookie.net/onepiece/images/7/71/Charlotte_Galette_Anime_Infobox.png/revision/latest?cb=20180721222625,female,human,pink,wavy,medium,sharp,medium,oval,confident,light,none,slim,young,4,7,5,2,8,3,6,7,9,"anime,female,pink hair,confident",매력적인 캐릭터입니다.
Charlotte Katakuri,9,very major recurring character,https://onepiece.fandom.com/wiki/Charlotte_Katakuri,https://static.wikia.nocookie.net/onepiece/images/2/2e/Charlotte_Katakuri_Anime_Infobox.png/revision/latest?cb=20230204155539,male,human,purple,short,medium,sharp,medium,square,serious,tan,none,muscular,adult,2,8,6,1,9,4,5,7,9,"muscular,serious,anime",강력한 캐릭터의 느낌입니다.
Chimney,6,recognizable character from the Water 7 arc,https://onepiece.fandom.com/wiki/Chimney,https://static.wikia.nocookie.net/onepiece/images/b/b3/Chimney_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20250318234329,female,human,blonde,pigtails,medium,round,large,oval,cheerful,light,none,slim,young,8,3,1,7,2,4,1,9,6,"cheerful, playful, energetic, cute",귀엽고 에너지가 넘치는 캐릭터입니다.
Chinjao,7,important character in the Dressrosa arc,https://onepiece.fandom.com/wiki/Chinjao,https://static.wikia.nocookie.net/onepiece/images/b/b0/Chinjao_Anime_Infobox.png/revision/latest?cb=20180508221950,male,human,white,long,very long,normal,medium,square,serious,light,long,muscular,old,2,7,3,1,9,6,2,5,8,"muscular,serious,old,beard",강력한 느낌의 캐릭터입니다.
Clover,6,recognizable character from the Ohara arc,https://onepiece.fandom.com/wiki/Clou_D._Clover,https://static.wikia.nocookie.net/onepiece/images/3/3c/Clou_D._Clover_Anime_Infobox.png/revision/latest?cb=20221112234508,male,human,gray,short,short,narrow,medium,square,serious,light,long,muscular,middle-aged,2,6,3,4,8,7,1,5,9,"strong, serious, wise",강력한 느낌의 캐릭터입니다.
Crocus,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Crocus,https://static.wikia.nocookie.net/onepiece/images/3/34/Crocus_Anime_Infobox.png/revision/latest?cb=20230403010215,male,human,white,long,long,narrow,small,angular,serious,light,long,average,old,2,5,3,2,6,4,1,3,7,"old, serious, wise, strong",강력한 노인의 느낌입니다.
Dalmatian,6,supporting but recognizable character,https://onepiece.fandom.com/wiki/Dalmatian,https://static.wikia.nocookie.net/onepiece/images/a/a8/Dalmatian_Anime_Infobox.png/revision/latest?cb=20160818201819,male,human,blonde,spiky,short,narrow,medium,square,angry,light,goatee,muscular,adult,2,7,3,1,8,6,2,7,9,"muscular, angry, blonde, spiky hair",강력한 느낌의 캐릭터입니다.
Diamante,7,important supporting character,https://onepiece.fandom.com/wiki/Diamante,https://static.wikia.nocookie.net/onepiece/images/7/72/Diamante_Anime_Infobox.png/revision/latest?cb=20151011043134,male,human,brown,wavy,long,sharp,medium,angular,smiling,light,none,muscular,adult,2,8,3,5,9,4,6,7,9,"anime, pirate, flamboyant, villain",강렬한 비주얼의 캐릭터입니다.
Doberman,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Doberman,https://static.wikia.nocookie.net/onepiece/images/e/e2/Doberman_Anime_Infobox.png/revision/latest?cb=20221101021412,male,human,black,curly,short,round,medium,square,serious,tan,none,muscular,adult,2,8,5,1,9,7,3,8,9,"military, strong, serious, leader",강력한 전사 같은 느낌입니다.
Doc Q,7,important supporting character,https://onepiece.fandom.com/wiki/Doc_Q,https://static.wikia.nocookie.net/onepiece/images/c/c4/Doc_Q_Anime_Infobox.png/revision/latest?cb=20240211200456,male,human,white,long,long,droopy,medium,thin,sad,pale,none,thin,old,2,3,5,4,6,1,4,3,2,"anime,character,Doc Q",이 캐릭터는 슬픈 느낌을 줍니다.
Doma,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Doma,https://static.wikia.nocookie.net/onepiece/images/f/fa/Doma_Anime_Infobox.png/revision/latest?cb=20221202185948,male,human,black,short,short,round,medium,square,serious,tan,none,muscular,adult,2,8,5,3,9,4,6,7,9,"muscular, serious, cool, powerful",강력한 느낌의 캐릭터입니다.
Domino,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Domino,https://static.wikia.nocookie.net/onepiece/images/1/11/Domino_Manga_Post_Timeskip_Infobox.png/revision/latest?cb=20170312041522,female,human,blonde,wavy,medium,sharp,medium,oval,confident,light,none,slim,young adult,3,8,5,2,7,4,3,6,9,"confident, stylish, military, wavy hair",강렬한 카리스마를 가지고 있습니다.
Donquixote Doflamingo,9,very major recurring character,https://onepiece.fandom.com/wiki/Donquixote_Doflamingo,https://static.wikia.nocookie.net/onepiece/images/7/7e/Donquixote_Doflamingo_Anime_Infobox.png/revision/latest?cb=20231017082245,male,human,blonde,spiky,short,narrow,medium,angular,smirking,light,none,muscular,adult,2,8,7,3,9,1,9,8,10,"villain, flamboyant, powerful",강렬한 악당의 느낌입니다.
Donquixote Homing,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Donquixote_Homing,https://static.wikia.nocookie.net/onepiece/images/e/e3/Donquixote_Homing_Anime_Infobox.png/revision/latest?cb=20150712150613,male,human,blonde,curly,long,round,medium,oval,smiling,light,mustache,average,adult,4,5,1,3,6,7,2,5,6,"anime, smiling, blonde, mustache",밝고 친근한 느낌입니다.
Dorry,6,supporting but recognizable,https://onepiece.fandom.com/wiki/Dorry,https://static.wikia.nocookie.net/onepiece/images/2/2d/Dorry_Anime_Infobox.png/revision/latest?cb=20250927120409,male,human,green,long,very long,narrow,medium,square,smiling,light,long,muscular,adult,2,7,3,5,9,4,2,8,8,"muscular, warrior, long hair, smiling",강력한 전사 같은 느낌입니다.
Edward Newgate,9,very major recurring character,https://onepiece.fandom.com/wiki/Edward_Newgate,https://static.wikia.nocookie.net/onepiece/images/b/b7/Edward_Newgate_Anime_Infobox.png/revision/latest?cb=20220926165737,male,human,black,short,short,normal,medium,square,smiling,light,none,muscular,adult,2,8,3,1,10,7,2,9,10,"muscular, pirate, strong, leader",강력한 존재감이 느껴진다.
Emporio Ivankov,8,major arc character,https://onepiece.fandom.com/wiki/Emporio_Ivankov,https://static.wikia.nocookie.net/onepiece/images/d/de/Emporio_Ivankov_Anime_Infobox.png/revision/latest?cb=20180624120810,male,human,purple,curly,medium,sharp,large,square,grinning,light,none,muscular,adult,3,5,2,8,7,4,3,9,8,"anime, colorful, flamboyant, strong",재미있고 강력한 캐릭터입니다.
Eustass Kid,9,very major recurring character,https://onepiece.fandom.com/wiki/Eustass_Kid,https://static.wikia.nocookie.net/onepiece/images/4/47/Eustass_Kid_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20240505021859,male,human,red,spiky,short,sharp,medium,angular,determined,light,none,muscular,young adult,2,8,6,1,9,7,3,8,9,"anime, pirate, strong, rebellious",강렬한 캐릭터입니다.
Fisher Tiger,8,major arc character,https://onepiece.fandom.com/wiki/Fisher_Tiger,https://static.wikia.nocookie.net/onepiece/images/c/c5/Fisher_Tiger_Anime_Infobox.png/revision/latest?cb=20230214162116,male,human,black,long,medium,round,large,square,serious,light,full,muscular,adult,2,8,6,1,9,7,3,8,9,"muscular,serious,heroic",강력한 존재감이 느껴진다.
Foxy,7,important supporting character,https://onepiece.fandom.com/wiki/Foxy,https://static.wikia.nocookie.net/onepiece/images/7/7d/Foxy_Anime_Post_Timeskip_Infobox.png/revision/latest?cb=20251102162706,male,human,black,spiky,short,sharp,medium,angular,grinning,light,none,muscular,adult,2,7,3,6,8,4,5,9,8,"spiky hair, muscular, grinning, anime",재미있고 자신감 넘치는 모습입니다.
